8=FIX4.4; 35=A; 34=1; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:30; 108=30; 10=0015;
8=FIX4.4; 35=A; 34=1; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:30; 108=30; 10=0016;
8=FIX4.4; 35=0; 34=2; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:30; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=2; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:30; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:32; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:32; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:34; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:34; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:36; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:36; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:38; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:38; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:40; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:40; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:42; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:42; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=9; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:44; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=9; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:44; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=10; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:46; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=10; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:46; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=11; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:48; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=11; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:48; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=12; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:50; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=12; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:50; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=13; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:52; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=13; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:52; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=14; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:54; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=14; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:54; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=15; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:56; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=15; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:56; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=16; 49=MTHREE; 56=MS; 52=2022-05-23-17:59:58; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=16; 49=MS; 56=MTHREE; 52=2022-05-23-17:59:58; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=17; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:00; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=17; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:00; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=18; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:02; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=18; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:02; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=19; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:04; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=19; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:04; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=20; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:06; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=20; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:06; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=21; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:08; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=21; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:08; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=22; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:10; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=22; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:10; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=23; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:12; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=23; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:12; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=24; 49=MTHREE; 56=MS; 52=2022-05-23-18:00:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=24; 49=MS; 56=MTHREE; 52=2022-05-23-18:00:14; 108=30; 10=0015;
